City,Country,Lat,Lng,Max Temp,Min Temp,Huidity,Cloudiness,Wind Speed,Current Description
Uglich,Ru,57.5275,38.3317,66.88,66.88,75,3,4.74,clear sky
Meulaboh,Id,4.1363,96.1285,77.63,77.63,85,100,1.23,overcast clouds
Shelburne,Ca,44.0787,-80.2041,73.24,63.05,30,1,9.15,clear sky
Taltal,Cl,-25.4,-70.4833,61.83,61.83,71,13,3.94,few clouds
Camoapa,Ni,12.3839,-85.5116,79.02,79.02,89,96,14.81,overcast clouds
Mendi,Pg,-6.1761,143.6513,52.3,52.3,96,88,4.03,overcast clouds
Bonoua,Ci,5.2741,-3.595,82.02,82.02,80,68,7.7,light rain
Ratnagiri,In,16.9833,73.3,80.33,80.33,83,99,17.18,overcast clouds
San carlos de bariloche,Ar,-41.1456,-71.3082,38.95,38.95,65,75,24.16,broken clouds
Pangoa,Pe,-12.1167,-73.0,84.36,84.36,44,99,4.09,overcast clouds
Quarai,Br,-30.3875,-56.4514,63.57,63.57,79,98,16.46,overcast clouds
Nara,Jp,34.6851,135.8049,78.49,75.7,78,100,2.13,light rain
Mitchell,Us,43.7094,-98.0298,85.73,82.38,64,20,10.36,few clouds
Nogent-le-rotrou,Fr,48.3333,1.0,73.65,73.65,40,28,8.14,scattered clouds
Harper,Lr,4.375,-7.7169,76.77,76.77,78,71,10.87,broken clouds
Asau,Ro,46.4333,26.4,79.72,78.28,76,61,2.98,broken clouds
Nuuk,Gl,64.1835,-51.7216,61.41,61.41,48,40,10.36,scattered clouds
Tazmalt,Dz,36.3868,4.3989,99.82,99.82,19,45,9.04,scattered clouds
Fomboni,Km,-12.28,43.7425,77.81,77.81,64,46,17.25,scattered clouds
Birao,Cf,10.2849,22.7882,77.72,77.72,69,92,5.41,light rain
Uyuni,Bo,-20.4597,-66.825,54.77,54.77,19,1,12.64,clear sky
Liverpool,Gb,53.4106,-2.9779,66.43,61.83,62,20,14.97,few clouds
Yulara,Au,-25.2406,130.9889,41.34,41.34,68,0,10.45,clear sky
Petrozavodsk,Ru,61.7849,34.3469,76.48,76.46,57,68,4.47,broken clouds
Kapit,My,2.0167,112.9333,75.33,75.33,90,98,0.76,overcast clouds
Puerto lleras,Co,3.0223,-73.4044,83.43,83.43,70,83,1.25,broken clouds
Nanakuli,Us,21.3906,-158.1547,77.11,73.42,73,100,5.75,overcast clouds
Hue,Vn,16.4667,107.6,82.51,82.51,89,20,1.14,few clouds
Kondinskoye,Ru,59.6481,67.41,48.31,48.31,81,100,8.05,overcast clouds
Tonantins,Br,-2.8731,-67.8022,89.19,89.19,53,22,5.17,few clouds
Hede,Cn,33.7681,120.2517,75.49,75.49,92,99,6.6,overcast clouds
Ukiah,Us,39.1502,-123.2078,67.44,59.02,66,100,9.22,overcast clouds
Konispol,Al,39.6589,20.1814,86.95,86.95,54,61,5.99,broken clouds
Gat,Il,31.61,34.7642,81.81,78.08,100,18,5.48,few clouds
Katsuura,Jp,35.1333,140.3,74.66,74.66,91,100,13.09,light rain
Komsomolskiy,Uz,40.4272,71.7189,84.92,84.92,32,0,2.3,clear sky
Salinas,Us,36.6777,-121.6555,65.28,55.81,73,100,9.22,overcast clouds
Shenjiamen,Cn,29.9576,122.298,76.42,76.42,93,100,1.83,overcast clouds
Qaqortoq,Gl,60.7167,-46.0333,47.43,47.43,72,100,2.91,overcast clouds
Lumeje,Ao,-11.55,20.7833,66.45,66.45,33,5,3.51,clear sky
Margate,Gb,51.3813,1.3862,69.87,65.89,60,72,1.01,broken clouds
Malanje,Ao,-9.5402,16.341,70.75,70.75,23,0,1.12,clear sky
Beloha,Mg,-25.1667,45.05,63.01,63.01,59,0,6.93,clear sky
Porto velho,Br,-8.7619,-63.9039,93.25,93.25,38,20,8.05,few clouds
Abha,Sa,18.2164,42.5053,75.02,71.85,56,75,4.61,dust
Tiarei,Pf,-17.5333,-149.3333,73.42,73.42,69,5,11.83,clear sky
Takhtamygda,Ru,54.1,123.5667,64.87,64.87,83,64,3.11,broken clouds
Villeta,Co,5.0089,-74.4723,83.01,83.01,53,29,4.68,scattered clouds
Port macquarie,Au,-31.4333,152.9167,46.29,46.29,93,100,0.0,overcast clouds
Half moon bay,Us,37.4636,-122.4286,61.99,53.74,83,100,12.66,overcast clouds
Cacapava,Br,-23.1008,-45.7069,82.65,79.68,30,0,1.9,clear sky
Kiama,Au,-34.6833,150.8667,62.01,55.45,93,100,5.99,light rain
Roald,No,62.5833,6.1333,63.16,57.34,82,75,11.5,broken clouds
Jiaozuo,Cn,35.2397,113.2331,77.67,77.67,85,25,5.48,scattered clouds
Nhulunbuy,Au,-12.2333,136.7667,72.21,72.21,78,100,17.27,overcast clouds
Dongobesh,Tz,-4.0667,35.3833,55.63,55.63,50,6,7.16,clear sky
Abdanan,Ir,32.9926,47.4198,86.63,86.63,16,0,3.02,clear sky
Tafresh,Ir,34.692,50.013,71.98,71.98,36,0,6.4,clear sky
Itarema,Br,-2.9248,-39.9167,84.15,84.15,64,52,15.17,broken clouds
Avera,Us,33.194,-82.5271,93.38,86.05,32,5,6.11,clear sky
Sakakah,Sa,29.9697,40.2064,92.77,92.77,14,0,15.61,clear sky
Uppsala,Se,60.0,17.75,69.31,69.24,56,81,12.66,broken clouds
Puri,In,19.8,85.85,84.72,84.72,79,100,4.72,overcast clouds
Yarada,In,17.65,83.2667,84.96,84.96,71,100,6.46,overcast clouds
Puerto del rosario,Es,28.5004,-13.8627,74.95,74.95,64,75,18.41,broken clouds
Narasannapeta,In,18.4167,84.05,83.46,83.46,75,100,6.73,overcast clouds
Lagodekhi,Ge,41.8268,46.2767,72.5,72.5,72,56,5.12,moderate rain
San javier,Es,37.8063,-0.8374,91.89,78.75,64,0,5.75,clear sky
Udarnyy,Ru,54.3409,42.8611,62.29,62.29,85,69,4.12,broken clouds
Novyy urengoy,Ru,66.0833,76.6333,50.86,50.86,54,100,18.01,overcast clouds
Petukhovo,Ru,55.0692,67.9019,58.44,58.44,77,90,1.21,overcast clouds
Muriwai beach,Nz,-36.8167,174.45,54.77,46.47,78,12,8.81,few clouds
Phalombe,Mw,-15.8064,35.6507,61.32,61.32,82,14,4.25,few clouds
San juan,Ar,-31.5375,-68.5364,56.52,56.52,24,7,3.11,clear sky
Tierralta,Co,8.1736,-76.0592,86.41,86.41,70,73,3.69,broken clouds
Turayf,Sa,31.6725,38.6637,91.65,91.65,22,0,6.91,clear sky
Borodino,Ru,55.9106,94.8983,52.34,52.34,90,48,3.53,scattered clouds
Andenes,No,69.3143,16.1194,56.93,55.38,82,2,5.75,clear sky
Saint-paul-les-dax,Fr,43.7272,-1.0516,77.4,66.72,64,78,11.5,light rain
Kilindoni,Tz,-7.9139,39.6668,76.87,76.87,75,54,19.93,broken clouds
Tura,In,25.5198,90.2201,75.02,75.02,95,51,4.47,broken clouds
Shaunavon,Ca,49.6501,-108.4181,62.38,62.38,52,99,11.79,overcast clouds
Solntsevo,Ru,51.4185,36.7499,77.34,77.34,84,53,5.79,broken clouds
Pochutla,Mx,15.7432,-96.4661,89.82,89.82,56,100,6.38,overcast clouds
Arilje,Rs,43.7531,20.0956,89.96,89.96,60,7,3.91,clear sky
Hanstholm,Dk,57.1167,8.6167,61.48,61.48,76,26,11.65,scattered clouds
Northam,Gb,51.0333,-4.2167,63.61,57.65,72,5,12.8,clear sky
Rehoboth,Na,-23.3167,17.0833,60.13,60.13,32,0,8.63,clear sky
Trairi,Br,-3.2778,-39.2689,78.98,78.98,80,77,11.86,broken clouds
Saint-andre-avellin,Ca,45.7168,-75.066,73.6,69.93,41,2,10.69,clear sky
Celestun,Mx,20.8667,-90.4,88.74,88.74,58,9,10.54,clear sky
Tirumullaivasal,In,11.2333,79.8333,82.98,82.98,67,100,14.29,overcast clouds
Lasa,It,46.6166,10.7002,83.28,83.28,80,78,1.23,broken clouds
Paris,Fr,48.8534,2.3488,78.96,72.0,42,0,11.5,clear sky
Ankara,Tr,39.9199,32.8543,78.19,72.52,22,0,11.5,clear sky
Vilhena,Br,-12.7406,-60.1458,84.42,84.42,48,0,1.14,clear sky
Parelhas,Br,-6.6878,-36.6575,76.87,76.87,71,90,17.6,light rain
Kamaishi,Jp,39.2667,141.8833,73.81,73.81,69,82,5.12,moderate rain
Sena madureira,Br,-9.0656,-68.6569,92.57,92.57,41,65,2.62,broken clouds
Batemans bay,Au,-35.7167,150.1833,53.1,53.1,88,100,14.74,overcast clouds
Barra do garcas,Br,-15.89,-52.2567,91.98,91.98,31,0,9.22,clear sky
Jiwani,Pk,25.05,61.7417,83.62,83.62,86,70,8.12,broken clouds
Tagusao,Ph,9.1924,117.8141,80.33,80.33,82,55,3.31,broken clouds
Bukama,Cd,-9.2,25.85,74.98,74.98,38,0,2.26,clear sky
Boende,Cd,-0.2167,20.8667,76.23,76.23,73,72,2.77,broken clouds
Ketchikan,Us,55.3422,-131.6461,66.67,62.58,72,0,12.66,clear sky
Marinette,Us,45.1,-87.6307,75.65,73.49,46,0,8.05,clear sky
Saint-georges,Gd,12.0564,-61.7485,81.95,81.95,78,13,18.37,few clouds
Ivdel,Ru,60.6911,60.4206,50.41,50.41,73,91,7.16,overcast clouds
Usolye,Ru,59.4268,56.6808,52.65,52.65,88,100,5.66,overcast clouds
Rock sound,Bs,24.9,-76.2,81.75,81.75,77,78,16.73,broken clouds
Bereda,Es,43.2686,-7.5406,65.41,62.15,100,100,6.49,overcast clouds
Sept-iles,Ca,50.2001,-66.3821,64.4,59.43,62,75,18.41,broken clouds
Norden,De,53.6,7.2,63.95,61.97,74,49,8.81,scattered clouds
Comodoro rivadavia,Ar,-45.8667,-67.5,48.06,48.06,40,0,13.8,clear sky
Aukra,No,62.7925,6.919,62.76,57.18,55,75,14.97,light rain
Sioux lookout,Ca,50.1001,-91.917,69.87,69.87,46,75,6.91,broken clouds
Biak,Id,-0.9131,122.8766,76.26,76.26,89,99,6.49,moderate rain
Antalaha,Mg,-14.9003,50.2788,68.05,68.05,88,50,9.33,light rain
Zachary,Us,30.6485,-91.1565,93.74,89.35,62,40,6.91,scattered clouds
Goderich,Ca,43.7501,-81.7165,67.91,63.91,68,35,6.91,scattered clouds
Lucea,Jm,18.451,-78.1736,87.85,87.66,78,98,16.55,overcast clouds
Pareora,Nz,-44.4871,171.2132,44.19,44.19,97,0,5.82,clear sky
Nome,Us,64.5011,-165.4064,59.16,59.07,77,100,5.75,overcast clouds
Ovre ardal,No,61.3167,7.8,54.48,54.48,74,89,3.94,overcast clouds
Lekoni,Ga,-1.5843,14.2591,85.6,85.6,41,82,3.04,broken clouds
Nenjiang,Cn,49.1833,125.2167,69.87,69.87,90,54,4.97,broken clouds
Funtua,Ng,11.5233,7.3081,72.52,72.52,80,49,23.09,moderate rain
Montclair,Us,40.8259,-74.209,88.81,80.11,32,0,14.97,clear sky
Alofi,Nu,-19.0595,-169.9187,67.89,67.89,100,38,3.44,scattered clouds
Belogorsk,Ru,50.9158,128.4611,67.5,67.5,88,6,1.39,clear sky
Lebedinyy,Ru,58.5167,125.5167,64.53,64.53,68,22,8.68,few clouds
Raboso,Mx,18.5667,-98.45,90.86,90.86,22,90,4.59,overcast clouds
Naze,Jp,28.3667,129.4833,77.92,77.92,90,100,20.2,overcast clouds
Kahta,Tr,37.7855,38.6237,81.77,81.77,15,0,8.21,clear sky
Sterling,Us,39.0062,-77.4286,86.0,77.45,60,75,7.0,broken clouds
Bitkine,Td,11.9801,18.2138,80.69,80.69,62,57,4.59,broken clouds
Byron bay,Au,-28.65,153.6167,53.94,50.7,86,97,4.14,overcast clouds
Shitanjing,Cn,39.2342,106.3439,77.88,77.88,35,80,3.31,broken clouds
Fort nelson,Ca,58.8053,-122.7002,69.39,69.39,49,20,2.3,few clouds
Zanjan,Ir,36.6736,48.4787,54.66,54.66,84,72,10.87,broken clouds
Cascais,Pt,38.6979,-9.4215,78.15,69.98,65,20,10.0,few clouds
Muhos,Fi,64.808,25.9931,71.38,66.88,54,13,4.85,few clouds
Saqqez,Ir,36.2499,46.2735,68.88,68.88,48,0,6.29,clear sky
Grand-santi,Gf,4.25,-54.3833,84.61,84.61,64,97,5.19,overcast clouds
Warrnambool,Au,-38.3833,142.4833,49.8,49.8,86,31,9.28,scattered clouds
Hunchun,Cn,42.8675,130.3581,67.68,67.68,94,0,3.24,clear sky
Anuchino,Ru,43.9622,133.0544,64.72,64.72,95,76,3.53,broken clouds
Tarakan,Id,3.3,117.6333,81.52,81.52,80,95,6.93,light rain
Maryville,Us,35.7565,-83.9705,91.65,85.1,67,75,6.91,broken clouds
Itamaraca,Br,-7.7478,-34.8256,82.45,82.45,79,89,15.14,overcast clouds
Manaure,Co,11.7751,-72.4445,91.06,91.06,52,66,19.19,broken clouds
Kirksville,Us,40.1948,-92.5833,84.06,80.58,66,20,10.36,few clouds
Beringovskiy,Ru,63.05,179.3167,44.8,44.8,97,100,6.64,overcast clouds
Marsh harbour,Bs,26.5412,-77.0636,82.15,82.15,73,94,13.09,overcast clouds
Fallon,Us,39.4735,-118.7774,75.92,73.27,13,0,4.61,clear sky
Sulangan,Ph,11.1373,123.7228,83.53,83.53,77,99,7.61,overcast clouds
Galveston,Us,29.3669,-94.9669,96.1,88.97,67,0,10.36,clear sky
Norman wells,Ca,65.282,-126.8329,71.64,71.64,49,20,16.11,few clouds
Karsava,Lv,56.7841,27.6883,70.61,70.61,76,62,2.44,broken clouds
Akdepe,Tm,42.0551,59.3788,80.69,80.69,20,13,19.22,few clouds
Camamu,Br,-13.9447,-39.1039,78.42,78.42,56,63,8.57,broken clouds
Bonthe,Sl,7.5264,-12.505,77.59,77.59,85,92,10.18,light rain
Tomatlan,Mx,19.9333,-105.25,90.95,90.95,55,31,8.05,scattered clouds
Faya,Sa,18.3851,42.4509,75.31,72.12,35,28,6.91,scattered clouds
Holoby,Ua,51.0865,25.0077,69.48,69.48,79,91,3.85,overcast clouds
Grand gaube,Mu,-20.0064,57.6608,70.2,68.38,84,74,11.99,light rain
Teluk nibung,Id,3.001,99.8164,76.96,76.96,87,97,3.89,overcast clouds
Esperanza,Do,19.5847,-70.9849,90.09,84.78,64,100,11.99,overcast clouds
Pavlodar,Kz,52.3,76.95,58.8,58.8,55,0,6.71,clear sky
Pangnirtung,Ca,66.1451,-65.7125,50.0,50.0,66,100,5.75,overcast clouds
Syracuse,It,37.0881,15.2792,89.19,85.37,67,0,4.27,clear sky
Ponta delgada,Pt,37.7333,-25.6667,72.32,72.32,60,20,13.8,few clouds
Muyezerskiy,Ru,63.9333,31.65,74.57,74.57,61,93,3.24,overcast clouds
Lugoba,Tz,-6.45,38.3333,72.03,72.03,64,84,5.46,broken clouds
Chipinge,Zw,-20.1883,32.6236,55.35,55.35,85,50,4.21,scattered clouds
Murmashi,Ru,68.8154,32.8115,73.81,69.42,82,40,7.0,scattered clouds
Miles city,Us,46.4083,-105.8406,81.25,81.25,47,81,16.2,broken clouds
Vanimo,Pg,-2.6741,141.3028,76.39,76.39,91,77,4.32,broken clouds
Iskandar,Uz,41.5539,69.7008,88.65,88.65,25,1,7.49,clear sky
San lorenzo,Py,-25.3333,-57.5333,79.74,79.74,65,0,5.75,clear sky
Ndende,Ga,-2.4008,11.3581,76.84,76.84,70,35,3.96,scattered clouds
Atar,Mr,20.5169,-13.0499,106.99,106.99,11,10,6.64,clear sky
College,Us,64.8569,-147.8028,73.2,67.95,66,75,5.75,smoke
Iskateley,Ru,67.6803,53.1512,54.0,54.0,58,46,6.98,scattered clouds
Cairns,Au,-16.9167,145.7667,69.06,67.1,90,100,9.22,overcast clouds
Poum,Nc,-20.2333,164.0167,76.59,76.59,81,4,21.0,clear sky
Saint-augustin,Ca,51.226,-58.6502,74.52,74.52,31,38,21.27,scattered clouds
Nogliki,Ru,51.8333,143.1667,47.8,47.8,97,45,6.22,scattered clouds
Trinidad,Bo,-14.8333,-64.9,89.58,89.58,51,75,9.22,broken clouds
San quintin,Mx,30.4833,-115.95,70.99,70.99,67,21,18.54,few clouds
Owando,Cg,-0.4819,15.8999,79.2,79.2,60,56,1.16,broken clouds
De aar,Za,-30.6497,24.0123,55.13,55.13,55,5,6.17,clear sky
Gamba,Ga,-2.65,10.0,71.94,71.94,87,62,7.72,broken clouds
Iwaki,Jp,37.05,140.8833,76.77,74.01,93,100,3.27,light rain
Pangody,Ru,65.85,74.4859,46.51,46.51,62,86,17.25,overcast clouds
Hami,Cn,42.8,93.45,80.22,80.22,13,42,8.25,scattered clouds
Christchurch,Nz,-43.5333,172.6333,43.0,37.33,79,5,8.05,clear sky
Joutseno,Fi,61.118,28.5076,75.25,75.25,73,37,7.0,scattered clouds
Padang,Id,-0.9492,100.3543,75.43,75.43,82,68,4.14,broken clouds
Beidao,Cn,34.5686,105.8933,69.06,69.06,80,1,3.33,clear sky
Lifford,Ie,54.8319,-7.4836,57.11,57.11,75,98,11.65,overcast clouds
Te anau,Nz,-45.4167,167.7167,39.4,39.4,91,20,2.75,few clouds
Qax,Az,41.4225,46.9242,70.79,70.79,68,60,6.2,broken clouds
Yertarskiy,Ru,56.7902,64.2995,55.26,55.26,98,100,8.57,overcast clouds
Shobara,Jp,34.85,133.0167,72.39,72.39,98,100,2.68,light rain
Camana,Pe,-16.6228,-72.7111,64.26,64.26,71,100,8.43,overcast clouds
Mareeba,Au,-17.0,145.4333,64.44,62.47,94,70,2.44,light rain
Viransehir,Tr,37.2353,39.7631,86.47,86.47,14,0,14.25,clear sky
Cordoba,Ar,-31.4135,-64.1811,66.42,59.0,16,0,12.66,clear sky
Voiron,Fr,45.3639,5.5921,85.05,78.26,50,29,5.99,scattered clouds
Indramayu,Id,-6.3264,108.32,80.53,80.53,82,21,7.54,few clouds
Prince george,Ca,53.9166,-122.753,72.25,64.29,53,0,11.5,clear sky
Shache,Cn,38.4167,77.2406,87.8,87.8,13,0,6.78,clear sky
Hagenow,De,53.4333,11.1833,72.88,72.37,60,51,7.14,broken clouds
Simav,Tr,39.0882,28.9777,69.12,69.12,46,0,8.32,clear sky
Maragogi,Br,-9.0122,-35.2225,77.29,77.29,82,53,15.43,broken clouds
Green river,Us,41.5286,-109.4662,82.98,77.4,34,43,8.01,scattered clouds
Verkhoyansk,Ru,67.5447,133.385,62.82,62.82,67,97,5.93,overcast clouds
Mazamari,Pe,-11.3258,-74.5308,87.8,87.8,41,88,3.76,overcast clouds
Sao filipe,Cv,14.8961,-24.4956,75.87,75.87,70,12,17.47,few clouds
Berlevag,No,70.8578,29.0864,59.0,53.4,88,75,12.66,broken clouds
Alta floresta,Br,-9.8756,-56.0861,98.42,98.42,32,40,10.36,scattered clouds
Doha,Qa,25.2867,51.5333,97.11,94.89,27,0,12.66,clear sky
Yurga,Ru,55.7231,84.8861,52.29,52.29,84,39,2.37,scattered clouds
Abnub,Eg,27.2696,31.1511,92.75,92.75,18,1,8.48,clear sky
Vilcun,Cl,-38.65,-72.2333,47.14,47.14,70,11,6.6,few clouds
Pachino,It,36.7186,15.0907,80.85,80.85,67,23,3.33,few clouds
San cristobal,Ve,7.7669,-72.225,78.98,78.98,63,56,8.01,broken clouds
Lac du bonnet,Ca,50.2536,-96.0612,65.08,65.08,58,100,3.98,overcast clouds
Vostok,Ru,46.4856,135.8833,61.84,61.84,98,98,4.03,overcast clouds
Knysna,Za,-34.0363,23.0471,55.11,55.11,83,32,2.62,scattered clouds
Pietarsaari,Fi,63.65,22.6833,71.73,71.73,67,15,11.39,few clouds
Orcopampa,Pe,-15.2661,-72.3417,58.44,58.44,15,57,6.64,broken clouds
